ID,Pincode,City,District,State
358,134118,Ambala,Ambala,HARYANA
359,134201,Ambala,Ambala,HARYANA
360,134202,Ambala City,Ambala,HARYANA
361,134203,Ambala City,Ambala,HARYANA
362,134204,Panchkula,Ambala,HARYANA
363,134205,Panchkula,Panchkula,HARYANA
364,135001,Ambala,Yamuna Nagar,HARYANA
365,135002,Ambala,Yamuna Nagar,HARYANA
366,135003,Ambala,Yamuna Nagar,HARYANA
367,135004,Ambala,Yamuna Nagar,HARYANA
368,135021,Ambala,Yamuna Nagar,HARYANA
369,135101,Ambala,Yamuna Nagar,HARYANA
370,135102,Ambala,Yamuna Nagar,HARYANA
371,135103,Ambala,Yamuna Nagar,HARYANA
372,135106,Ambala,Yamuna Nagar,HARYANA
373,135133,Ambala,Yamuna Nagar,HARYANA
374,136020,Pundri,Kaithal,HARYANA
375,136021,Pundri,Kaithal,HARYANA
376,136026,Pundri,Kaithal,HARYANA
377,136027,Kaithal,Kaithal,HARYANA
378,136030,Pehowa,Kurukshetra,HARYANA
379,136033,Kaithal,Kaithal,HARYANA
380,136034,Guhla,Kaithal,HARYANA
381,136035,Guhla,Kaithal,HARYANA
382,136038,Thanesar,Kurukshetra,HARYANA
383,136042,Pundri,Kaithal,HARYANA
384,136043,Pundri,Kaithal,HARYANA
385,136044,Kaithal,Kaithal,HARYANA
386,136117,Kaithal,Kaithal,HARYANA
387,136118,Thanesar,Kurukshetra,HARYANA
388,136119,Thanesa,Kurukshetra,HARYANA
389,136128,Pehowa,Kurukshetra,HARYANA
390,136129,Pehowa,Kurukshetra,HARYANA
391,136130,Pehowa,Kurukshetra,HARYANA
392,136131,Thanesar,Kurukshetra,HARYANA
393,136132,Ladwa,Kurukshetra,HARYANA
394,136135,Shahabad,Kurukshetra,HARYANA
395,136136,Pehowa,Kurukshetra,HARYANA
396,136156,Babain,Kurukshetra,HARYANA
397,140001,Ropar Ho,Ropar,PUNJAB
398,140101,Kharar,Rupnagar,PUNJAB
399,140102,Lutheri,Ropar,PUNJAB
400,140103,Kharar,Mohali,PUNJAB
401,140108,Rupnagar,Rupnagar,PUNJAB
402,140109,Khizrabad West,Mohali,PUNJAB
403,140110,Ropar,Mohali,PUNJAB
404,140111,Bela,Rupnagar,PUNJAB
405,140112,Chamkaur Sahib,Rupnagar,PUNJAB
406,140113,Rupnagar,Rupnagar,PUNJAB
407,140114,Bharatgarh,Rupnagar,PUNJAB
408,140115,Anandpur Sahib,Rupnagar,PUNJAB
409,140116,Anandpur Sahib,Rupnagar,PUNJAB
410,140117,Anandpur Sahib,Rupnagar,PUNJAB
411,140118,Ropar,Ropar,PUNJAB
412,140119,Anandpur Sahib,Rupnagar,PUNJAB
413,140123,Anandpur Sahib,Rupnagar,PUNJAB
414,140124,Anandpur Sahib,Rupnagar,PUNJAB
415,140125,Anandpur Sahib,Rupnagar,PUNJAB
416,140126,Anandpur Sahib,Rupnagar,PUNJAB
417,140133,Anandpur Sahib,Rupnagar,PUNJAB
418,140201,Dera Bassi,Mohali,PUNJAB
419,140301,Kharar,Rupnagar,PUNJAB
420,140306,Ropar,Rupnagar,PUNJAB
421,140307,Kharar,Rupnagar,PUNJAB
422,140308,Ropar,Rupnagar,PUNJAB
423,140401,Rajpura,Patiala,PUNJAB
424,140402,Rajpura,Patiala,PUNJAB
425,140405,Fatehgarh Sahib,Fatehgarh Sahib,PUNJAB
426,140406,Bassi Pathana,Patiala,PUNJAB
427,140407,Fatehgarh Sahib,Fatehgarh Sahib,PUNJAB
428,140412,Bassi,Fatehgarh Sahib,PUNJAB
429,140413,Kharar,Rupnagar,PUNJAB
430,140417,Bassi Pathana,Fatehgarh Sahib,PUNJAB
431,140501,Dera Bassi,Patiala,PUNJAB
432,140506,Dera Bassi,Mohali,PUNJAB
433,140507,Derabassi,Mohali,PUNJAB
434,140601,Dera Bassi,Patiala,PUNJAB
435,140602,Derabassi,Patiala,PUNJAB
436,140603,Dera Bassi,Patiala,PUNJAB
437,140604,Dera Bassi,Mohali,PUNJAB
438,140701,Fatehgarh Sahib,Patiala,PUNJAB
